
line,dateIni,dateEnd,label,nameTo,nameFrom,parada,secuencia,sentido,distancia,descparada,descpostal,posX,posY
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,729,22,1,6094,Lista                                             ,"José Ortega y Gasset, 60                               ",442773.0,4475893.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,727,23,1,6526,Parque Eva Duarte                                 ,"José Ortega y Gasset, 100                              ",443203.875,4475864.5
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,726,24,1,6756,Cartagena-Francisco Silvela                       ,"Cartagena, 6                                           ",443241.0,4476024.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,2304,25,1,7132,Plaza San Cayetano                                ,Pza. de San Cayetano con C/ Eraso                      ,443263.0,4476397.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,721,26,1,7483,Cartagena-Béjar                                   ,"Cartagena, 64                                          ",443204.0,4476711.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,717,27,1,7840,Cartagena                                         ,"Cartagena, 106                                         ",442979.03125,4476976.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,715,28,1,8202,Cartagena-López de Hoyos                          ,"Cartagena, 140                                         ",442819.0,4477301.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,51294,29,1,8527,Josep Pla-Cartagena                               ,"Josep Pla, 11                                          ",442636.09375,4477404.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,51294,1,2,0,Josep Pla-Cartagena                               ,"Josep Pla, 11                                          ",442636.09375,4477404.0
001,2026-08-20,2999-12-31 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,716,2,2,416,Cartagena-López de Hoyos                          ,"Cartagena, 131                                         ",442796.0,4477297.0
